Filename	LLM_EP10_Cur
Instrument name	DSC2A-01799 (192.168.1.250)
Operator	
rundate	15/05/2025
Sample name	LLM_EP10_Cur
proceduresegments	Ramp 10.00 °C/min to 25.00 °C; Ramp 10.00 °C/min to 135.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to 200.00 °C; Isothermal 5.0 min; Ramp 10.00 °C/min to -50.00 °C
[step]
Ramp 10.00 °C/min to 25.0000 °C
Time	Temperature	Heat Flow (Normalized)
min	°C	W/g
0.96	32.95	-0.153
0.96	32.96	-0.153
0.96	32.98	-0.153
0.97	33.00	-0.153
0.97	33.01	-0.153
0.97	33.03	-0.153
0.97	33.05	-0.153
0.97	33.06	-0.153
0.97	33.08	-0.153
0.98	33.10	-0.153
0.98	33.11	-0.153
0.98	33.13	-0.153
0.98	33.15	-0.153
0.98	33.16	-0.153
0.98	33.18	-0.153
0.98	33.20	-0.153
0.99	33.21	-0.153
0.99	33.23	-0.153
0.99	33.24	-0.153
0.99	33.26	-0.153
0.99	33.28	-0.153
1.00	33.30	-0.153
1.00	33.31	-0.153
1.00	33.33	-0.152
1.00	33.35	-0.152
1.00	33.36	-0.152
1.00	33.38	-0.152
1.00	33.39	-0.152
1.01	33.41	-0.152
1.01	33.43	-0.152
1.01	33.44	-0.152
1.01	33.46	-0.152
1.01	33.48	-0.152
1.02	33.49	-0.152
1.02	33.51	-0.152
1.02	33.53	-0.152
1.02	33.54	-0.152
1.02	33.56	-0.152
1.02	33.58	-0.152
1.03	33.59	-0.152
1.03	33.61	-0.152
1.03	33.63	-0.152
1.03	33.64	-0.152
1.03	33.66	-0.152
1.03	33.68	-0.152
1.03	33.69	-0.152
1.04	33.71	-0.152
1.04	33.73	-0.152
1.04	33.74	-0.152
1.04	33.76	-0.152
1.04	33.78	-0.152
1.05	33.79	-0.152
1.05	33.81	-0.151
1.05	33.83	-0.151
1.05	33.84	-0.151
1.05	33.86	-0.151
1.05	33.87	-0.151
1.05	33.89	-0.151
1.06	33.91	-0.151
1.06	33.92	-0.151
1.06	33.94	-0.151
1.06	33.96	-0.151
1.06	33.97	-0.151
1.07	33.99	-0.151
1.07	34.01	-0.151
1.07	34.03	-0.151
1.07	34.04	-0.151
1.07	34.06	-0.151
1.07	34.07	-0.151
1.08	34.09	-0.151
1.08	34.11	-0.151
1.08	34.12	-0.151
1.08	34.14	-0.151
1.08	34.16	-0.151
1.08	34.17	-0.151
1.08	34.19	-0.151
1.09	34.21	-0.151
1.09	34.22	-0.151
1.09	34.24	-0.151
1.09	34.26	-0.151
1.09	34.27	-0.151
1.09	34.29	-0.151
1.10	34.31	-0.151
1.10	34.32	-0.151
1.10	34.34	-0.151
1.10	34.36	-0.151
1.10	34.37	-0.151
1.11	34.39	-0.151
1.11	34.40	-0.151
1.11	34.42	-0.151
1.11	34.44	-0.151
1.11	34.45	-0.151
1.11	34.47	-0.151
1.12	34.49	-0.151
1.12	34.50	-0.151
1.12	34.52	-0.151
1.12	34.54	-0.151
1.12	34.55	-0.151
1.12	34.57	-0.151
1.13	34.59	-0.151
1.13	34.60	-0.151
1.13	34.62	-0.151
1.13	34.64	-0.151
1.13	34.65	-0.151
1.13	34.67	-0.151
1.13	34.69	-0.151
1.14	34.70	-0.150
1.14	34.72	-0.150
1.14	34.74	-0.150
1.14	34.75	-0.150
1.14	34.77	-0.150
1.14	34.78	-0.150
1.15	34.80	-0.150
1.15	34.82	-0.150
1.15	34.83	-0.150
1.15	34.85	-0.150
1.15	34.87	-0.150
1.16	34.88	-0.150
1.16	34.90	-0.150
1.16	34.92	-0.150
1.16	34.93	-0.150
1.16	34.95	-0.150
1.16	34.97	-0.150
1.17	34.98	-0.150
1.17	35.00	-0.150
1.17	35.02	-0.150
1.17	35.03	-0.150
1.17	35.05	-0.150
1.17	35.07	-0.150
1.18	35.08	-0.150
1.18	35.10	-0.150
1.18	35.12	-0.150
